pd_timestamp,relative_timestamp,operation,path,action,operation_file
137085,9241297,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/controllers/WebsocketController.kt\0""",3,open | WebsocketController.kt
137159,9252287,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/configs/ResourceServerConfiguration.kt\0""",3,open | ResourceServerConfiguration.kt
153826,1843427,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/video-service/src/main/java/tv/comnata/videoservice/controllers/VideoController.kt\0""",3,open | VideoController.kt
154874,1895181,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/video-service/src/main/java/tv/comnata/videoservice/clients/MainClient.kt\0""",3,open | MainClient.kt
155843,2687156,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/services/UserService.kt\0""",3,open | UserService.kt
155908,2696560,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/test/kotlin/tv/comnata/mainservice/MainServiceApplicationTests.kt\0""",3,open | MainServiceApplicationTests.kt
156163,2718165,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/services/WebsocketService.kt\0""",3,open | WebsocketService.kt
156560,2739969,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/eventlisteners/WebsocketEventListener.kt\0""",3,open | WebsocketEventListener.kt
157381,2797077,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/configs/JWTTokenStoreConfig.kt\0""",3,open | JWTTokenStoreConfig.kt
157406,2805624,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/services/RoomService.kt\0""",3,open | RoomService.kt
157454,2812088,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr3/main-service/src/main/kotlin/tv/comnata/mainservice/configs/websocket/WebSocketConfig.kt\0""",3,open | WebSocketConfig.kt
211885,6863392,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/configs/ResourceServerConfiguration.kt\0""",4,open | ResourceServerConfiguration.kt
212206,6897493,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/configs/WebSecurityConfig.kt\0""",4,open | WebSecurityConfig.kt
225285,9008560,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/video-service/src/main/java/tv/comnata/videoservice/controllers/VideoController.kt\0""",4,open | VideoController.kt
225523,9031663,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/video-service/src/main/java/tv/comnata/videoservice/clients/MainClient.kt\0""",4,open | MainClient.kt
225969,9790706,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/services/UserService.kt\0""",4,open | UserService.kt
226688,9839268,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/configs/JWTTokenStoreConfig.kt\0""",4,open | JWTTokenStoreConfig.kt
226707,9848772,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/services/RoomService.kt\0""",4,open | RoomService.kt
226714,9855230,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/eventlisteners/WebsocketEventListener.kt\0""",4,open | WebsocketEventListener.kt
226743,9858945,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/configs/websocket/WebSocketConfig.kt\0""",4,open | WebSocketConfig.kt
226750,9863489,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/test/kotlin/tv/comnata/mainservice/MainServiceApplicationTests.kt\0""",4,open | MainServiceApplicationTests.kt
226902,9876296,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr4/main-service/src/main/kotlin/tv/comnata/mainservice/services/WebsocketService.kt\0""",4,open | WebsocketService.kt
262279,6355051,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr5/main-service/src/main/kotlin/tv/comnata/mainservice/configs/AppConfig.kt\0""",5,open | AppConfig.kt
286775,5910024,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr5/video-service/src/main/java/tv/comnata/videoservice/services/VideoResolution.kt\0""",5,open | VideoResolution.kt
302118,516358,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/build.gradle.kts\0""",6,lstat | gradle.kt
302141,516523,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/settings.gradle.kts\0""",6,lstat | gradle.kt
338047,3008849,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/video-service/src/main/java/tv/comnata/videoservice/configs/SwaggerConfig.kt\0""",6,open | SwaggerConfig.kt
338316,3066203,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/video-service/src/main/java/tv/comnata/videoservice/services/VideoResolution.kt\0""",6,open | VideoResolution.kt
339456,3141263,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/main-service/src/main/kotlin/tv/comnata/mainservice/entities/Room.kt\0""",6,open | Room.kt
339689,3167259,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/main-service/src/main/kotlin/tv/comnata/mainservice/configs/JWTTokenStoreConfig.kt\0""",6,open | JWTTokenStoreConfig.kt
339694,3169963,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr6/main-service/src/main/kotlin/tv/comnata/mainservice/services/RoomService.kt\0""",6,open | RoomService.kt
354834,1533394,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr7/build.gradle.kts\0""",7,lstat | gradle.kt
354837,1533438,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr7/settings.gradle.kts\0""",7,lstat | gradle.kt
372620,18480861,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr7/main-service/src/main/kotlin/tv/comnata/mainservice/stores/ActionsStore.kt\0""",7,open | ActionsStore.kt
388306,2687413,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr7/main-service/src/main/kotlin/tv/comnata/mainservice/entities/Room.kt\0""",7,open | Room.kt
420527,8896469,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr8/main-service/src/main/kotlin/tv/comnata/mainservice/configs/WebSecurityConfig.kt\0""",8,open | WebSecurityConfig.kt
420627,8914580,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr8/main-service/src/main/kotlin/tv/comnata/mainservice/stores/ActionsStore.kt\0""",8,open | ActionsStore.kt
444864,10135935,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr8/video-service/src/main/java/tv/comnata/videoservice/configs/SwaggerConfig.kt\0""",8,open | SwaggerConfig.kt
460690,7257,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr9/build.gradle.kts\0""",9,lstat | gradle.kt
460693,7300,lstat,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr9/settings.gradle.kts\0""",9,lstat | gradle.kt
477773,18314467,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr9/main-service/src/main/kotlin/tv/comnata/mainservice/configs/AppConfig.kt\0""",9,open | AppConfig.kt
479750,19016490,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr9/main-service/src/main/kotlin/tv/comnata/mainservice/stores/ActionsStore.kt\0""",9,open | ActionsStore.kt
499334,13389730,open,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr9/video-service/src/main/java/tv/comnata/videoservice/configs/SwaggerConfig.kt\0""",9,open | SwaggerConfig.kt
